Benchmark,Group,num_stores,num_stores_marked,dyn,dyn_silent,dyn_marked,dyn_marked_silent
SciMark2-C,SciMark2-C,67,8,21794063853,3403842614,8413063762,0
Ptrdist/anagram,Ptrdist,40,4,339525631,42524857,7735462,6590828
Ptrdist/bc,Ptrdist,531,0,68706764,15885416,0,0
Ptrdist/yacr2,Ptrdist,169,1,75431380,58196609,414980,13620
Ptrdist/ks,Ptrdist,79,2,275928,65965,65286,0
Ptrdist/ft,Ptrdist,79,0,18420582,1461761,0,0
VersaBench/dbms,VersaBench,235,7,60565863,19731458,306966,306961
VersaBench/8b10b,VersaBench,8,0,1200000000,470637231,0,0
VersaBench/bmm,VersaBench,8,1,1077936131,1032327134,1073741824,1030768838
VersaBench/ecbdes,VersaBench,29,0,476001088,339999819,0,0
VersaBench/beamformer,VersaBench,67,2,178673442,12436892,8212480,0
CoyoteBench/lpbench,CoyoteBench,21,4,2690721929,2000,2674666000,0
CoyoteBench/almabench,CoyoteBench,14,0,56160560,20,0,0
CoyoteBench/huffbench,CoyoteBench,28,0,817999463,300748766,0,0
NPB-serial/is,NPB-serial,35,1,1757436183,136628613,23068661,11
NPB-serial/dc,NPB-serial,409,26,252546522,110917270,24977952,3028
cpu2006/401.bzip2/rbc,cpu2006,1211,17,34371833189,4785266034,1312057981,99628214
cpu2006/464.h264ref/rbc,cpu2006,6389,47,28394636722,7269873459,131168333,9993003
cpu2006/445.gobmk/rbc,cpu2006,4067,43,15617034708,3399968967,596258782,184755756
cpu2006/444.namd/rbc,cpu2006,2753,412,93148606001,2826457830,61110332886,70179090
cpu2006/429.mcf/rbc,cpu2006,228,12,29423015520,11599295569,1093353797,44
cpu2006/470.lbm/rbc,cpu2006,122,0,74153871121,5755552746,0,0
cpu2006/400.perlbench/rbc,cpu2006,13534,68,26107238369,9850736016,27545664,4130714
cpu2006/456.hmmer/rbc,cpu2006,3012,8,175990114970,1038518733,55171491812,11157876
cpu2006/458.sjeng/rbc,cpu2006,1609,2,126236326196,33794641378,2499337013,30202025
cpu2006/433.milc/rbc,cpu2006,835,49,95406699733,1859857729,3501472000,196025338
cpu2006/403.gcc/rbc,cpu2006,20336,146,7121328811,5896293331,40948890,13492394
ASC_Sequoia/IRSmk,ASC_Sequoia,69,0,78783553,78132024,0,0
ASC_Sequoia/CrystalMk,ASC_Sequoia,35,9,2016000636,721999820,754000000,2000000
ASC_Sequoia/AMGmk,ASC_Sequoia,143,2,1258255118,692882445,251720000,0
DOE_ProxyApps_C/XSBench,DOE_ProxyApps_C,75,1,180815729,8842,77422430,0
DOE_ProxyApps_C/SimpleMOC,DOE_ProxyApps_C,231,4,991604157,7197805,63934730,2940178
DOE_ProxyApps_C/Pathfinder,DOE_ProxyApps_C,204,1,292689160,35774430,97565851,31953564
DOE_ProxyApps_C/miniAMR,DOE_ProxyApps_C,565,9,119608193,112722987,18021,12
DOE_ProxyApps_C/RSBench,DOE_ProxyApps_C,128,3,29864087,314477,6185168,2341
DOE_ProxyApps_C/miniGMG,DOE_ProxyApps_C,173,24,442487372,8512733,57038,45072
McCat/05-eks,McCat,41,0,1622600,168828,0,0
McCat/01-qbsort,McCat,25,0,4010554,955599,0,0
McCat/08-main,McCat,171,1,15216946,8166593,138240,126728
McCat/09-vor,McCat,283,0,20399509,1368985,0,0
McCat/15-trie,McCat,26,0,15449,7266,0,0
McCat/03-testtrie,McCat,12,0,347208,124847,0,0
McCat/12-IOtest,McCat,28,0,64417222,29566391,0,0
McCat/04-bisect,McCat,22,0,38802,507,0,0
McCat/17-bintr,McCat,16,0,183260,46014,0,0
Olden/bisort,Olden,27,0,259891939,176504579,0,0
Olden/mst,Olden,43,0,100110827,8023963,0,0
Olden/treeadd,Olden,5,0,12582910,8388606,0,0
Olden/em3d,Olden,37,0,25933371,4091,0,0
Olden/power,Olden,91,13,254920559,1868599,125101079,49896
Olden/bh,Olden,132,16,591922234,22130608,171209350,10
Olden/voronoi,Olden,82,0,282172819,75283492,0,0
Olden/tsp,Olden,58,0,42728182,8372222,0,0
Olden/perimeter,Olden,24,0,39146836,27961998,0,0
Linpack,Linpack,76,4,4128604912,130472182,3784673300,455793
Stanford/Bubblesort,Stanford,11,0,12993400,101,0,0
Stanford/Queens,Stanford,16,0,8975000,5083893,0,0
Stanford/FloatMM,Stanford,6,0,360005000,20788424,0,0
Stanford/Quicksort,Stanford,10,0,4127200,265602,0,0
Stanford/IntMM,Stanford,6,0,720010,40031,0,0
Stanford/Puzzle,Stanford,56,0,3686400,711345,0,0
Stanford/RealMM,Stanford,6,0,720010,40004,0,0
Stanford/Towers,Stanford,15,0,13114300,1640285,0,0
Stanford/Oscar,Stanford,27,1,1357080,5256,51200,0
Stanford/Treesort,Stanford,16,0,3001200,1494990,0,0
Fhourstones,Fhourstones,54,4,154959172,11341258,22014274,0
Fhourstones_31,Fhourstones_31,43,3,2831123666,475739612,357892819,0
PAQ8p,PAQ8p,629,2,11562186624,6196159727,16777795,0
Misc/revertBits,Misc,0,0,0,0,0,0
Misc/whetstone,Misc,43,0,531400020,194900002,0,0
Misc/matmul_f64_4x4,Misc,18,0,1600000000,1399999972,0,0
Misc/flops-6,Misc,15,0,14,0,0,0
Misc/flops-5,Misc,15,0,14,0,0,0
Misc/flops-3,Misc,13,0,12,0,0,0
Misc/salsa20,Misc,38,32,12405768562,537919504,10758390080,0
Misc/fbench,Misc,41,0,134000028,25999994,0,0
Misc/richards_benchmark,Misc,57,0,768271904,260017607,0,0
Misc/ReedSolomon,Misc,87,6,1709094340,73842799,508783346,31592
Misc/flops-2,Misc,18,0,312500015,0,0,0
Misc/mandel-2,Misc,7,0,313702242,120461197,0,0
Misc/flops-4,Misc,15,0,14,0,0,0
Misc/mandel,Misc,9,0,200000000,25010002,0,0
Misc/flops,Misc,98,0,125825932,14,0,0
Misc/perlin,Misc,3,0,512,2,0,0
Misc/himenobmtxpa,Misc,16,0,69336141,2629639,0,0
Misc/evalloop,Misc,4,0,204702048,100002,0,0
Misc/flops-1,Misc,16,0,15,1,0,0
Misc/dt,Misc,4,1,268439552,131072,268435456,131072
Misc/oourafft,Misc,167,4,41741241824,2254204099,2457624576,450000
Misc/fp-convert,Misc,3,0,2048000000,1638400000,0,0
Misc/flops-7,Misc,13,0,12,0,0,0
Misc/pi,Misc,4,0,80000001,18030158,0,0
Misc/lowercase,Misc,2,0,4960000000,4959999504,0,0
Misc/flops-8,Misc,15,0,14,0,0,0
Misc/ffbench,Misc,12,2,295214850,291327246,132120576,131137776
FreeBench/neural,FreeBench,38,2,510094241,384789120,489860000,365015680
FreeBench/distray,FreeBench,91,27,2598865393,347842647,1441414536,241179052
FreeBench/mason,FreeBench,37,0,2686653063,2686653063,0,0
FreeBench/pcompress2,FreeBench,114,0,974924971,5655090,0,0
FreeBench/analyzer,FreeBench,94,2,1476740,229698,10002,2
FreeBench/pifft,FreeBench,667,21,5934710413,56429415,518609545,228
FreeBench/fourinarow,FreeBench,46,0,60467469,24694573,0,0
sim,sim,281,1,1901317583,939621080,55,0
cBench/security_rijndael_d/src,cBench,189,2,2580010993,278654961,511899776,2193119
cBench/consumer_jpeg_c/src,cBench,2430,11,1452140424,685526912,7502586,5538680
cBench/consumer_lame/src,cBench,1861,17,1618149876,316998124,110563920,25636788
cBench/bzip2e/src,cBench,1277,3,1722318960,156690943,49851160,5197560
cBench/bzip2d/src,cBench,1284,5,1422807520,59523106,93281680,4000
cBench/consumer_tiffdither/src,cBench,2053,9,1991850002,152659865,604425000,18930000
cBench/consumer_jpeg_d/src,cBench,2403,12,2704178750,895047745,13947500,1496250
cBench/security_blowfish_e/src,cBench,141,2,2564371552,750621339,711923748,0
cBench/consumer_tiff2bw/src,cBench,2050,7,2961694456,105484391,269712412,47299
cBench/consumer_tiffmedian/src,cBench,2146,9,2584538312,321478767,2488120,25613
cBench/consumer_tiff2rgba/src,cBench,2029,7,2869088744,62102613,261534987,52632
cBench/security_blowfish_d/src,cBench,141,1,2564731565,749901323,18,0
MallocBench/make,MallocBench,720,2,22788,4156,44,24
MallocBench/cfrac,MallocBench,296,3,814476871,120694208,318415,269840
MallocBench/gs,MallocBench,2254,26,9174749,3864011,778834,529739
MallocBench/espresso,MallocBench,1487,39,99431649,44673534,14781279,13426475
BenchmarkGame/n-body,BenchmarkGame,13,9,375000003,0,375000000,0
BenchmarkGame/recursive,BenchmarkGame,0,0,0,0,0,0
BenchmarkGame/fannkuch,BenchmarkGame,10,0,1801621248,57619503,0,0
BenchmarkGame/nsieve-bits,BenchmarkGame,2,0,67213002,0,0,0
BenchmarkGame/spectral-norm,BenchmarkGame,6,2,160082000,3856,160000000,0
BenchmarkGame/puzzle,BenchmarkGame,7,0,10000016,93,0,0
Dhrystone/fldry,Dhrystone,35,0,2200000007,1399999989,0,0
Dhrystone/dry,Dhrystone,35,0,2200000007,1399999989,0,0
nbench,nbench,395,16,723092051,225293438,166025058,8019319
llubenchmark,llubenchmark,11,0,1176784196,392187,0,0
MiBench/telecomm-FFT,MiBench,27,0,3538957,475141,0,0
MiBench/office-stringsearch,MiBench,29,0,349005,98670,0,0
MiBench/network-patricia,MiBench,33,0,326248,69803,0,0
MiBench/consumer-jpeg,MiBench,2395,12,2180276,1509921,7792,3965
MiBench/automotive-bitcount,MiBench,9,0,2250008,1,0,0
MiBench/security-blowfish,MiBench,0,0,0,0,0,0
MiBench/telecomm-CRC32,MiBench,5,0,26610193,1,0,0
MiBench/security-sha,MiBench,29,7,10809276,1144507,254514,397
MiBench/network-dijkstra,MiBench,23,0,16244394,386429,0,0
MiBench/automotive-susan,MiBench,31,0,115634,15842,0,0
MiBench/automotive-basicmath,MiBench,11,0,3307431,539606,0,0
mafft,mafft,4126,14,15259223325,100459910,4210892344,9900
Prolangs-C/cdecl,Prolangs-C,241,0,28018,5653,0,0
Prolangs-C/archie-client,Prolangs-C,32,0,3,0,0,0
Prolangs-C/bison,Prolangs-C,537,9,96678,31125,1011,12
Prolangs-C/unix-tbl,Prolangs-C,212,0,49,2,0,0
Prolangs-C/gnugo,Prolangs-C,241,0,21420699,15334591,0,0
Prolangs-C/assembler,Prolangs-C,174,0,2,1,0,0
Prolangs-C/plot2fig,Prolangs-C,0,0,0,0,0,0
Prolangs-C/fixoutput,Prolangs-C,17,0,5,1,0,0
Prolangs-C/loader,Prolangs-C,12,0,3,0,0,0
Prolangs-C/football,Prolangs-C,170,0,252,0,0,0
Prolangs-C/compiler,Prolangs-C,132,0,126,64,0,0
Prolangs-C/simulator,Prolangs-C,258,0,1,0,0,0
Prolangs-C/agrep,Prolangs-C,636,0,172402,102540,0,0
Prolangs-C/unix-smail,Prolangs-C,163,0,105,31,0,0
Prolangs-C/allroots,Prolangs-C,4,0,11,0,0,0
TSVC/NodeSplitting-dbl,TSVC,46,1,4545078612,1984086010,319990000,0
TSVC/Searching-flt,TSVC,35,0,484616,3,0,0
TSVC/GlobalDataFlow-flt,TSVC,47,4,3552154785,3292312162,1410329600,1168515000
TSVC/Recurrences-dbl,TSVC,37,1,1600680612,1600004005,639980000,639980000
TSVC/NodeSplitting-flt,TSVC,46,1,4545078612,2263229719,319990000,0
TSVC/Packing-flt,TSVC,36,0,3328474884,3327827458,0,0
TSVC/Reductions-dbl,TSVC,50,0,268359701,267363079,0,0
TSVC/LoopRestructuring-flt,TSVC,48,4,1324138641,894970641,209612675,60693375
TSVC/StatementReordering-flt,TSVC,39,2,3840636612,3724374463,1279960000,1198060000
TSVC/Searching-dbl,TSVC,35,0,484616,3,0,0
TSVC/LinearDependence-flt,TSVC,51,7,3990210890,3446577284,1651405500,1144617078
TSVC/ControlLoops-dbl,TSVC,47,5,2573030150,1784513468,1521920000,734720000
TSVC/Symbolics-dbl,TSVC,39,2,3782267522,2950269510,581760000,0
TSVC/Symbolics-flt,TSVC,39,2,3782267522,3698889454,581760000,507312900
TSVC/LinearDependence-dbl,TSVC,51,7,3990210890,2965435434,1651405500,1142221500
TSVC/InductionVariable-dbl,TSVC,46,1,3748208992,2954549055,291200000,0
TSVC/LoopRerolling-flt,TSVC,45,10,2862116616,1346624007,1514880000,0
TSVC/CrossingThresholds-dbl,TSVC,47,1,3502736030,3420213403,15052800,0
TSVC/InductionVariable-flt,TSVC,46,1,3748208992,3701068114,291200000,253935500
TSVC/Equivalencing-dbl,TSVC,53,0,2401019621,1942123777,0,0
TSVC/Recurrences-flt,TSVC,37,1,1600680612,1600004005,639980000,639980000
TSVC/ControlFlow-flt,TSVC,80,22,2635524508,2085367827,1770188192,1398474185
TSVC/ControlLoops-flt,TSVC,47,5,2573030150,2013362447,1521920000,963541000
TSVC/Equivalencing-flt,TSVC,53,0,2401019621,2381502655,0,0
TSVC/CrossingThresholds-flt,TSVC,47,1,3502736030,3477557403,15052800,0
TSVC/Expansion-dbl,TSVC,54,2,3664714692,3262070884,266235840,133115840
TSVC/IndirectAddressing-dbl,TSVC,40,1,2001126150,1600129545,400000000,0
TSVC/ControlFlow-dbl,TSVC,80,22,2635534716,270528511,1770198400,0
TSVC/LoopRerolling-dbl,TSVC,45,10,2862116616,1346624007,1514880000,0
TSVC/GlobalDataFlow-dbl,TSVC,47,4,3552154785,1334005383,1410329600,0
TSVC/IndirectAddressing-flt,TSVC,40,1,2001126150,1600157450,400000000,0
TSVC/Reductions-flt,TSVC,50,0,268359701,267363079,0,0
TSVC/LoopRestructuring-dbl,TSVC,48,4,1324138641,834249361,209612675,0
TSVC/Packing-dbl,TSVC,36,0,3328474884,3327827458,0,0
TSVC/StatementReordering-dbl,TSVC,39,2,3840636612,2319724777,1279960000,639980000
TSVC/Expansion-flt,TSVC,54,2,3664714692,3511596219,266235840,133115840
ASCI_Purple,ASCI_Purple,2431,31,1011426249,135513396,649197428,106489158
mediabench/mpeg2/mpeg2dec,mediabench,509,7,3490326,1274098,189785,741
mediabench/jpeg/jpeg-6a,mediabench,2422,11,657342,276582,3513,2518
mediabench/g721/g721encode,mediabench,59,8,9838664,1012608,3245440,191612
mediabench/gsm/toast,mediabench,548,36,9060935,321721,2293936,6704
mediabench/adpcm/rawcaudio,mediabench,5,0,74056,3105,0,0
mediabench/adpcm/rawdaudio,mediabench,8,0,147816,5369,0,0
Trimaran/enc-md5,Trimaran,56,4,800024201,639838473,159959400,0
Trimaran/netbench-url,Trimaran,29,0,21414012,9489363,0,0
Trimaran/enc-pc1,Trimaran,77,1,10419994460,344670874,639999968,2498624
Trimaran/enc-3des,Trimaran,36,0,96180400,534352,0,0
Trimaran/netbench-crc,Trimaran,2,0,256,1,0,0
Trimaran/enc-rc4,Trimaran,11,1,4878000000,46999994,82000000,0
McGill/chomp,McGill,34,0,9625094,1193500,0,0
McGill/queens,McGill,21,0,191875965,5427258,0,0
McGill/exptree,McGill,28,0,289,76,0,0
McGill/misr,McGill,19,0,21100059,10601325,0,0
tramp3d-v4,tramp3d-v4,3788,13,787400177,258280509,230324,169170
BitBench/drop3,BitBench,10,0,20138180,19131271,0,0
BitBench/five11,BitBench,5,0,95180000,95180000,0,0
BitBench/uuencode,BitBench,16,0,1046709000,184942998,0,0
BitBench/uudecode,BitBench,5,0,54262300,53831724,0,0
Shootout/heapsort,Shootout,7,0,204387719,45511092,0,0
Shootout/methcall,Shootout,11,0,1333333341,1,0,0
Shootout/random,Shootout,2,0,400000000,0,0,0
Shootout/fib2,Shootout,0,0,0,0,0,0
Shootout/lists,Shootout,36,0,7239000000,602999729,0,0
Shootout/strcat,Shootout,0,0,0,0,0,0
Shootout/ary3,Shootout,3,1,1501500000,0,1500000000,0
Shootout/hash,Shootout,13,0,21000005,3500002,0,0
Shootout/sieve,Shootout,3,0,4569770000,2134348972,0,0
Shootout/matrix,Shootout,5,0,300000330,299999900,0,0
Shootout/ackermann,Shootout,0,0,0,0,0,0
Shootout/objinst,Shootout,11,0,630000026,350000000,0,0
Shootout/nestedloop,Shootout,0,0,0,0,0,0
Shootout/hello,Shootout,0,0,0,0,0,0
PolyBench/linear-algebra/kernels/doitgen,PolyBench,9,1,4054122903,133872738,4009500000,133758482
PolyBench/linear-algebra/kernels/bicg,PolyBench,11,2,2673120005,2230531,1782000000,1458019
PolyBench/linear-algebra/kernels/mvt,PolyBench,11,2,1200080005,921999,800000000,627995
PolyBench/linear-algebra/kernels/3mm,PolyBench,14,3,2706690007,16219874,2700000000,13617874
PolyBench/linear-algebra/kernels/2mm,PolyBench,14,3,1661590007,13331930,1656960000,12588616
PolyBench/linear-algebra/blas/trmm,PolyBench,10,2,5209801003,4598401,5202600000,4595402
PolyBench/linear-algebra/blas/syrk,PolyBench,10,2,6777941304,1923561,6765981300,1920141
PolyBench/linear-algebra/blas/symm,PolyBench,12,1,5217000005,103526566,5197400000,103402520
PolyBench/linear-algebra/blas/gesummv,PolyBench,14,2,1600080007,128001,800000000,64000
PolyBench/linear-algebra/blas/gemver,PolyBench,19,3,1600180011,334001,800020000,0
PolyBench/linear-algebra/blas/gemm,PolyBench,11,2,11980380005,115682928,11964600000,115628014
PolyBench/linear-algebra/blas/syr2k,PolyBench,11,2,6783141305,8196,6765981300,4418
PolyBench/linear-algebra/solvers/cholesky,PolyBench,14,4,9347336002,5337348567,9335332000,5331347553
PolyBench/linear-algebra/solvers/ludcmp,PolyBench,17,1,8016012005,5337341998,8000000000,5331333000
PolyBench/linear-algebra/solvers/lu,PolyBench,13,4,10678668002,5337345671,10666666000,5331344670
PolyBench/linear-algebra/solvers/trisolv,PolyBench,4,0,1,0,0,0
PolyBench/linear-algebra/solvers/gramschmidt,PolyBench,12,2,1444560603,3462202,1438800000,102802
PolyBench/linear-algebra/solvers/durbin,PolyBench,9,0,16004002,0,0,0
PolyBench/datamining/covariance,PolyBench,14,5,1016044204,2411998,1012921800,1685200
PolyBench/datamining/correlation,PolyBench,21,7,1017007205,725400,1013882400,1200
PolyBench/medley/nussinov,PolyBench,11,0,27789665752,27767002991,0,0
PolyBench/medley/deriche,PolyBench,12,0,232243205,8189,0,0
PolyBench/medley/floyd-warshall,PolyBench,7,0,175656163221,175586556087,0,0
PolyBench/stencils/adi,PolyBench,19,0,23972008004,17278179,0,0
PolyBench/stencils/jacobi-1d,PolyBench,8,0,8004002,0,0,0
PolyBench/stencils/heat-3d,PolyBench,8,0,15540784002,15524784000,0,0
PolyBench/stencils/fdtd-2d,PolyBench,12,3,1802001004,6928,1797800500,2127
PolyBench/stencils/seidel-2d,PolyBench,6,0,16000004001,15965163195,0,0
PolyBench/stencils/jacobi-2d,PolyBench,8,0,15673288002,11330362966,0,0
