Benchmark,exec1,exec2,exec3,exec4,exec5,Mean
ASCI_Purple,1.65,1.65,1.65,1.67,1.65,1.65
bzip2e,3.43,3.45,3.48,3.43,3.47,3.45
consumer_jpeg_c,4.84,4.81,4.81,4.81,4.77,4.81
consumer_jpeg_d,22.49,22.44,22.48,22.42,22.2,22.41
consumer_lame,3.74,3.75,3.77,3.76,3.75,3.76
consumer_tiffdither,6.17,6.2,6.15,6.17,6.2,6.18
miniGMG,5.05,5.04,5.1,5.04,5.06,5.05
Pathfinder,1.9,1.91,1.91,1.91,1.9,1.9
distray,6.14,5.78,5.79,5.8,5.79,5.86
neural,7.77,7.78,7.77,7.77,7.77,7.77
cfrac,2.61,2.61,2.63,2.61,2.6,2.61
espresso,0.3,0.3,0.3,0.3,0.31,0.3
gs,0.04,0.04,0.04,0.04,0.04,0.04
08-main,0.04,0.04,0.04,0.04,0.04,0.04
g721encode,0.08,0.08,0.08,0.08,0.08,0.08
ffbench,0.47,0.47,0.46,0.47,0.47,0.47
health,2.96,2.99,2.96,2.97,2.97,2.97
anagram,0.6,0.62,0.6,0.61,0.6,0.61
yacr2,0.59,0.59,0.59,0.59,0.59,0.59
tramp3d-v4,11.8,11.8,11.79,11.82,11.79,11.8
ControlLoops-dbl,2.23,2.22,2.24,2.23,2.24,2.23
ControlLoops-flt,2.0,2.0,2.01,2.0,2.0,2.0
Expansion-dbl,2.38,2.38,2.39,2.38,2.38,2.38
Expansion-flt,1.38,1.38,1.4,1.39,1.39,1.39
LinearDependence-dbl,2.61,2.62,2.64,2.64,2.62,2.63
LinearDependence-flt,2.0,2.01,2.0,2.0,2.01,2.0
Recurrences-dbl,1.95,1.95,1.93,1.95,1.94,1.94
Recurrences-flt,1.84,1.84,1.84,1.84,1.84,1.84
StatementReordering-dbl,2.64,2.64,2.65,2.64,2.65,2.65
StatementReordering-flt,1.9,1.9,1.9,1.9,1.9,1.9
bmm,6.62,6.61,6.69,6.71,6.69,6.66
dbms,0.83,0.83,0.83,0.83,0.83,0.83
ControlFlow-flt,2.578,2.582,2.576,2.58,2.587,2.24
GlobalDataFlow-flt,1.871,1.87,1.869,1.861,1.871,1.40
InductionVariable-flt,1.979,1.994,1.988,1.986,1.993,1.99
LoopRestructuring-flt,2.572,2.582,2.552,2.607,2.604,2.37
Symbolics-flt,1.017,0.983,0.962,1.002,1,0.81