JobRuntime,strategy,factor,benchmark,mean,median,sd
31.708,PLP,0.05,Cholesky,31.708,31.708,0
30.463,PLP,0.10,Cholesky,30.463,30.463,0
28.965,PLP,0.15,Cholesky,28.965,28.965,0
27.744,PLP,0.20,Cholesky,27.744,27.744,0
26.457,PLP,0.25,Cholesky,26.457,26.457,0
25.124,PLP,0.30,Cholesky,25.124,25.124,0
23.911,PLP,0.35,Cholesky,23.911,23.911,0
24.736,PLP,0.40,Cholesky,24.736,24.736,0
23.425,PLP,0.45,Cholesky,23.425,23.425,0
22.180,PLP,0.50,Cholesky,22.180,22.180,0
20.831,PLP,0.55,Cholesky,20.831,20.831,0
19.467,PLP,0.60,Cholesky,19.467,19.467,0
18.107,PLP,0.65,Cholesky,18.107,18.107,0
16.716,PLP,0.70,Cholesky,16.716,16.716,0
15.389,PLP,0.75,Cholesky,15.389,15.389,0
14.009,PLP,0.80,Cholesky,14.009,14.009,0
12.684,PLP,0.85,Cholesky,12.684,12.684,0
11.342,PLP,0.90,Cholesky,11.342,11.342,0
9.924,PLP,0.95,Cholesky,9.924,9.924,0
47.559,PLP,0.05,Lu,47.559,47.559,0
46.070,PLP,0.10,Lu,46.070,46.070,0
44.610,PLP,0.15,Lu,44.610,44.610,0
43.389,PLP,0.20,Lu,43.389,43.389,0
42.095,PLP,0.25,Lu,42.095,42.095,0
40.925,PLP,0.30,Lu,40.925,40.925,0
39.734,PLP,0.35,Lu,39.734,39.734,0
39.132,PLP,0.40,Lu,39.132,39.132,0
37.976,PLP,0.45,Lu,37.976,37.976,0
36.584,PLP,0.50,Lu,36.584,36.584,0
35.157,PLP,0.55,Lu,35.157,35.157,0
33.776,PLP,0.60,Lu,33.776,33.776,0
32.378,PLP,0.65,Lu,32.378,32.378,0
31.092,PLP,0.70,Lu,31.092,31.092,0
29.710,PLP,0.75,Lu,29.710,29.710,0
28.422,PLP,0.80,Lu,28.422,28.422,0
26.812,PLP,0.85,Lu,26.812,26.812,0
25.335,PLP,0.90,Lu,25.335,25.335,0
22.743,PLP,0.95,Lu,22.743,22.743,0
46.461,PLP,0.05,Ludcmp,46.461,46.461,0
44.963,PLP,0.10,Ludcmp,44.963,44.963,0
43.720,PLP,0.15,Ludcmp,43.720,43.720,0
42.272,PLP,0.20,Ludcmp,42.272,42.272,0
41.053,PLP,0.25,Ludcmp,41.053,41.053,0
39.842,PLP,0.30,Ludcmp,39.842,39.842,0
38.490,PLP,0.35,Ludcmp,38.490,38.490,0
37.194,PLP,0.40,Ludcmp,37.194,37.194,0
35.906,PLP,0.45,Ludcmp,35.906,35.906,0
34.634,PLP,0.50,Ludcmp,34.634,34.634,0
33.368,PLP,0.55,Ludcmp,33.368,33.368,0
32.032,PLP,0.60,Ludcmp,32.032,32.032,0
30.737,PLP,0.65,Ludcmp,30.737,30.737,0
29.367,PLP,0.70,Ludcmp,29.367,29.367,0
28.039,PLP,0.75,Ludcmp,28.039,28.039,0
26.618,PLP,0.80,Ludcmp,26.618,26.618,0
25.200,PLP,0.85,Ludcmp,25.200,25.200,0
23.789,PLP,0.90,Ludcmp,23.789,23.789,0
22.435,PLP,0.95,Ludcmp,22.435,22.435,0
21.769,PLP,0.05,Gramschmidt,21.769,21.769,0
21.789,PLP,0.10,Gramschmidt,21.789,21.789,0
21.738,PLP,0.15,Gramschmidt,21.738,21.738,0
21.561,PLP,0.20,Gramschmidt,21.561,21.561,0
21.642,PLP,0.25,Gramschmidt,21.642,21.642,0
21.583,PLP,0.30,Gramschmidt,21.583,21.583,0
21.583,PLP,0.35,Gramschmidt,21.583,21.583,0
21.576,PLP,0.40,Gramschmidt,21.576,21.576,0
21.668,PLP,0.45,Gramschmidt,21.668,21.668,0
21.720,PLP,0.50,Gramschmidt,21.720,21.720,0
21.644,PLP,0.55,Gramschmidt,21.644,21.644,0
21.846,PLP,0.60,Gramschmidt,21.846,21.846,0
21.697,PLP,0.65,Gramschmidt,21.697,21.697,0
21.588,PLP,0.70,Gramschmidt,21.588,21.588,0
21.657,PLP,0.75,Gramschmidt,21.657,21.657,0
21.592,PLP,0.80,Gramschmidt,21.592,21.592,0
21.517,PLP,0.85,Gramschmidt,21.517,21.517,0
21.539,PLP,0.90,Gramschmidt,21.539,21.539,0
21.254,PLP,0.95,Gramschmidt,21.254,21.254,0
11.358,PLP,0.05,Covariance,11.358,11.358,0
11.437,PLP,0.10,Covariance,11.437,11.437,0
11.366,PLP,0.15,Covariance,11.366,11.366,0
11.313,PLP,0.20,Covariance,11.313,11.313,0
11.338,PLP,0.25,Covariance,11.338,11.338,0
11.338,PLP,0.30,Covariance,11.338,11.338,0
11.338,PLP,0.35,Covariance,11.338,11.338,0
11.339,PLP,0.40,Covariance,11.339,11.339,0
11.339,PLP,0.45,Covariance,11.339,11.339,0
11.399,PLP,0.50,Covariance,11.399,11.399,0
11.291,PLP,0.55,Covariance,11.291,11.291,0
11.361,PLP,0.60,Covariance,11.361,11.361,0
11.325,PLP,0.65,Covariance,11.325,11.325,0
11.340,PLP,0.70,Covariance,11.340,11.340,0
11.401,PLP,0.75,Covariance,11.401,11.401,0
11.363,PLP,0.80,Covariance,11.363,11.363,0
11.306,PLP,0.85,Covariance,11.306,11.306,0
11.474,PLP,0.90,Covariance,11.474,11.474,0
11.289,PLP,0.95,Covariance,11.289,11.289,0
10.354,PLP,0.05,Gemm,10.354,10.354,0
10.300,PLP,0.10,Gemm,10.300,10.300,0
10.309,PLP,0.15,Gemm,10.309,10.309,0
10.377,PLP,0.20,Gemm,10.377,10.377,0
17.827,PLP,0.25,Gemm,17.827,17.827,0
17.374,PLP,0.30,Gemm,17.374,17.374,0
16.848,PLP,0.35,Gemm,16.848,16.848,0
16.381,PLP,0.40,Gemm,16.381,16.381,0
15.853,PLP,0.45,Gemm,15.853,15.853,0
15.358,PLP,0.50,Gemm,15.358,15.358,0
14.835,PLP,0.55,Gemm,14.835,14.835,0
14.319,PLP,0.60,Gemm,14.319,14.319,0
13.812,PLP,0.65,Gemm,13.812,13.812,0
13.280,PLP,0.70,Gemm,13.280,13.280,0
12.790,PLP,0.75,Gemm,12.790,12.790,0
12.269,PLP,0.80,Gemm,12.269,12.269,0
11.689,PLP,0.85,Gemm,11.689,11.689,0
11.097,PLP,0.90,Gemm,11.097,11.097,0
10.434,PLP,0.95,Gemm,10.434,10.434,0
12.161,PLP,0.05,Atax,12.161,12.161,0
13.210,PLP,0.10,Atax,13.210,13.210,0
14.256,PLP,0.15,Atax,14.256,14.256,0
15.355,PLP,0.20,Atax,15.355,15.355,0
16.414,PLP,0.25,Atax,16.414,16.414,0
17.398,PLP,0.30,Atax,17.398,17.398,0
18.595,PLP,0.35,Atax,18.595,18.595,0
19.728,PLP,0.40,Atax,19.728,19.728,0
20.542,PLP,0.45,Atax,20.542,20.542,0
20.885,PLP,0.50,Atax,20.885,20.885,0
20.359,PLP,0.55,Atax,20.359,20.359,0
19.750,PLP,0.60,Atax,19.750,19.750,0
18.717,PLP,0.65,Atax,18.717,18.717,0
17.516,PLP,0.70,Atax,17.516,17.516,0
16.486,PLP,0.75,Atax,16.486,16.486,0
15.370,PLP,0.80,Atax,15.370,15.370,0
14.302,PLP,0.85,Atax,14.302,14.302,0
13.214,PLP,0.90,Atax,13.214,13.214,0
12.017,PLP,0.95,Atax,12.017,12.017,0
35.144,EAE,0.05,Cholesky,35.144,35.144,0
33.523,EAE,0.10,Cholesky,33.523,33.523,0
32.162,EAE,0.15,Cholesky,32.162,32.162,0
30.683,EAE,0.20,Cholesky,30.683,30.683,0
29.294,EAE,0.25,Cholesky,29.294,29.294,0
27.904,EAE,0.30,Cholesky,27.904,27.904,0
26.432,EAE,0.35,Cholesky,26.432,26.432,0
24.995,EAE,0.40,Cholesky,24.995,24.995,0
23.475,EAE,0.45,Cholesky,23.475,23.475,0
22.051,EAE,0.50,Cholesky,22.051,22.051,0
20.631,EAE,0.55,Cholesky,20.631,20.631,0
19.134,EAE,0.60,Cholesky,19.134,19.134,0
17.640,EAE,0.65,Cholesky,17.640,17.640,0
16.207,EAE,0.70,Cholesky,16.207,16.207,0
14.736,EAE,0.75,Cholesky,14.736,14.736,0
13.302,EAE,0.80,Cholesky,13.302,13.302,0
11.855,EAE,0.85,Cholesky,11.855,11.855,0
10.405,EAE,0.90,Cholesky,10.405,10.405,0
8.944,EAE,0.95,Cholesky,8.944,8.944,0
49.802,EAE,0.05,Lu,49.802,49.802,0
48.405,EAE,0.10,Lu,48.405,48.405,0
46.920,EAE,0.15,Lu,46.920,46.920,0
45.565,EAE,0.20,Lu,45.565,45.565,0
44.060,EAE,0.25,Lu,44.060,44.060,0
42.569,EAE,0.30,Lu,42.569,42.569,0
41.161,EAE,0.35,Lu,41.161,41.161,0
39.638,EAE,0.40,Lu,39.638,39.638,0
38.193,EAE,0.45,Lu,38.193,38.193,0
36.789,EAE,0.50,Lu,36.789,36.789,0
35.240,EAE,0.55,Lu,35.240,35.240,0
33.923,EAE,0.60,Lu,33.923,33.923,0
32.328,EAE,0.65,Lu,32.328,32.328,0
31.001,EAE,0.70,Lu,31.001,31.001,0
29.365,EAE,0.75,Lu,29.365,29.365,0
27.924,EAE,0.80,Lu,27.924,27.924,0
26.359,EAE,0.85,Lu,26.359,26.359,0
24.687,EAE,0.90,Lu,24.687,24.687,0
22.002,EAE,0.95,Lu,22.002,22.002,0
47.682,EAE,0.05,Ludcmp,47.682,47.682,0
46.195,EAE,0.10,Ludcmp,46.195,46.195,0
44.712,EAE,0.15,Ludcmp,44.712,44.712,0
43.242,EAE,0.20,Ludcmp,43.242,43.242,0
41.904,EAE,0.25,Ludcmp,41.904,41.904,0
40.500,EAE,0.30,Ludcmp,40.500,40.500,0
38.944,EAE,0.35,Ludcmp,38.944,38.944,0
37.594,EAE,0.40,Ludcmp,37.594,37.594,0
36.124,EAE,0.45,Ludcmp,36.124,36.124,0
34.612,EAE,0.50,Ludcmp,34.612,34.612,0
33.088,EAE,0.55,Ludcmp,33.088,33.088,0
31.840,EAE,0.60,Ludcmp,31.840,31.840,0
30.226,EAE,0.65,Ludcmp,30.226,30.226,0
28.839,EAE,0.70,Ludcmp,28.839,28.839,0
27.382,EAE,0.75,Ludcmp,27.382,27.382,0
25.900,EAE,0.80,Ludcmp,25.900,25.900,0
24.453,EAE,0.85,Ludcmp,24.453,24.453,0
22.952,EAE,0.90,Ludcmp,22.952,22.952,0
21.574,EAE,0.95,Ludcmp,21.574,21.574,0
22.107,EAE,0.05,Gramschmidt,22.107,22.107,0
22.228,EAE,0.10,Gramschmidt,22.228,22.228,0
22.145,EAE,0.15,Gramschmidt,22.145,22.145,0
22.026,EAE,0.20,Gramschmidt,22.026,22.026,0
22.019,EAE,0.25,Gramschmidt,22.019,22.019,0
22.082,EAE,0.30,Gramschmidt,22.082,22.082,0
22.003,EAE,0.35,Gramschmidt,22.003,22.003,0
22.077,EAE,0.40,Gramschmidt,22.077,22.077,0
21.996,EAE,0.45,Gramschmidt,21.996,21.996,0
22.100,EAE,0.50,Gramschmidt,22.100,22.100,0
22.092,EAE,0.55,Gramschmidt,22.092,22.092,0
22.061,EAE,0.60,Gramschmidt,22.061,22.061,0
22.069,EAE,0.65,Gramschmidt,22.069,22.069,0
21.955,EAE,0.70,Gramschmidt,21.955,21.955,0
21.976,EAE,0.75,Gramschmidt,21.976,21.976,0
22.027,EAE,0.80,Gramschmidt,22.027,22.027,0
22.137,EAE,0.85,Gramschmidt,22.137,22.137,0
22.019,EAE,0.90,Gramschmidt,22.019,22.019,0
21.783,EAE,0.95,Gramschmidt,21.783,21.783,0
11.589,EAE,0.05,Covariance,11.589,11.589,0
11.562,EAE,0.10,Covariance,11.562,11.562,0
11.600,EAE,0.15,Covariance,11.600,11.600,0
11.574,EAE,0.20,Covariance,11.574,11.574,0
11.611,EAE,0.25,Covariance,11.611,11.611,0
11.625,EAE,0.30,Covariance,11.625,11.625,0
11.639,EAE,0.35,Covariance,11.639,11.639,0
11.588,EAE,0.40,Covariance,11.588,11.588,0
11.601,EAE,0.45,Covariance,11.601,11.601,0
11.569,EAE,0.50,Covariance,11.569,11.569,0
11.607,EAE,0.55,Covariance,11.607,11.607,0
11.614,EAE,0.60,Covariance,11.614,11.614,0
11.557,EAE,0.65,Covariance,11.557,11.557,0
11.577,EAE,0.70,Covariance,11.577,11.577,0
11.578,EAE,0.75,Covariance,11.578,11.578,0
11.613,EAE,0.80,Covariance,11.613,11.613,0
11.567,EAE,0.85,Covariance,11.567,11.567,0
11.581,EAE,0.90,Covariance,11.581,11.581,0
11.628,EAE,0.95,Covariance,11.628,11.628,0
16.190,EAE,0.05,Gemm,16.190,16.190,0
15.883,EAE,0.10,Gemm,15.883,15.883,0
15.583,EAE,0.15,Gemm,15.583,15.583,0
15.289,EAE,0.20,Gemm,15.289,15.289,0
14.979,EAE,0.25,Gemm,14.979,14.979,0
14.670,EAE,0.30,Gemm,14.670,14.670,0
14.355,EAE,0.35,Gemm,14.355,14.355,0
14.068,EAE,0.40,Gemm,14.068,14.068,0
13.782,EAE,0.45,Gemm,13.782,13.782,0
13.437,EAE,0.50,Gemm,13.437,13.437,0
13.149,EAE,0.55,Gemm,13.149,13.149,0
12.805,EAE,0.60,Gemm,12.805,12.805,0
12.488,EAE,0.65,Gemm,12.488,12.488,0
12.135,EAE,0.70,Gemm,12.135,12.135,0
11.851,EAE,0.75,Gemm,11.851,11.851,0
11.478,EAE,0.80,Gemm,11.478,11.478,0
11.126,EAE,0.85,Gemm,11.126,11.126,0
10.641,EAE,0.90,Gemm,10.641,10.641,0
10.286,EAE,0.95,Gemm,10.286,10.286,0
12.001,EAE,0.05,Atax,12.001,12.001,0
12.996,EAE,0.10,Atax,12.996,12.996,0
14.006,EAE,0.15,Atax,14.006,14.006,0
15.200,EAE,0.20,Atax,15.200,15.200,0
16.272,EAE,0.25,Atax,16.272,16.272,0
17.268,EAE,0.30,Atax,17.268,17.268,0
18.556,EAE,0.35,Atax,18.556,18.556,0
19.415,EAE,0.40,Atax,19.415,19.415,0
20.213,EAE,0.45,Atax,20.213,20.213,0
20.575,EAE,0.50,Atax,20.575,20.575,0
20.334,EAE,0.55,Atax,20.334,20.334,0
19.546,EAE,0.60,Atax,19.546,19.546,0
19.013,EAE,0.65,Atax,19.013,19.013,0
17.608,EAE,0.70,Atax,17.608,17.608,0
16.429,EAE,0.75,Atax,16.429,16.429,0
15.431,EAE,0.80,Atax,15.431,15.431,0
14.431,EAE,0.85,Atax,14.431,14.431,0
13.480,EAE,0.90,Atax,13.480,13.480,0
